Clave de idioma;Plan de cuentas;Cuenta de mayor;Texto breve;Texto explicativo;Texto explicativo
ES;XSON;1001000100;Caja pesos;Caja pesos;CAJA PESOS
ES;XSON;1001000105;Caja dolares;Caja dolares;CAJA DOLARES
ES;XSON;1001000999;Compra divisas CC;Compra de divisas - Cuenta puente;COMPRA DE DIVISAS - CUENT
ES;XSON;1001100099;A.V-Fondo fijo;A.V-Fondo fijo;A.V-FONDO FIJO
ES;XSON;1001100100;Fondo Fijo;Fondo Fijo;FONDO FIJO
ES;XSON;1002000099;AV Bancos;AV Bancos;AV BANCOS
ES;XSON;1002000120;Santander R°o $ 6659;Santander R°o Pesos - Cta Cte $ 187-6659/2;SANTANDER R÷O PESOS - CTA
ES;XSON;1002000121;Entrada de cheques $;Entrada de cheques - Santander Rio Cabildo;ENTRADA DE CHEQUES - SANT
ES;XSON;1002000122;Salida de cheques $;Salida de cheques - Santander Rio Cabildo;SALIDA DE CHEQUES - SANTA
ES;XSON;1002000123;Transferencias Rio C;Transferencias - Santander Rio Cabildo;TRANSFERENCIAS - SANTANDE
ES;XSON;1002000124;Otros dÇbitos Rio Ca;Otros DÇbitos - Santander Rio Cabildo;OTROS DêBITOS - SANTANDER
ES;XSON;1002000125;Otros crÇditos Rio C;Otros CrÇditos - Santander R°o Cabildo;OTROS CRêDITOS - SANTANDE
ES;XSON;1002000130;Santader Rio Cramer;Santader Rio Cramer;SANTADER RIO CRAMER
ES;XSON;1002000131;Entrada de cheques;Entrada de cheques - Santander Rio;ENTRADA DE CHEQUES - SANT
ES;XSON;1002000132;Salida de cheques;Salida de cheques - Santander Rio;SALIDA DE CHEQUES - SANTA
ES;XSON;1002000133;Transferencias;Transferencias - Santander Rio;TRANSFERENCIAS - SANTANDE
ES;XSON;1002000134;Otros debitos;Otros debitos - Santander Rio;OTROS DEBITOS - SANTANDER
ES;XSON;1002000135;Otros creditos;Otros creditos - Santander Rio;OTROS CREDITOS - SANTANDE
ES;XSON;1002000140;Santander Rio $ 7452;Santander Rio Pesos - Cta Cte $ 187-7452/8;SANTANDER RIO PESOS - CTA
ES;XSON;1002000141;Entrada de cheques $;Entrada de cheques - Santander R°o 7452/8;ENTRADA DE CHEQUES - SANT
ES;XSON;1002000142;Salida de cheques $;Salida de cheques - Santander R°o 7452/8;SALIDA DE CHEQUES - SANTA
ES;XSON;1002000143;Transferencias R°o;Transferencias - Santander R°o 7452/8;TRANSFERENCIAS - SANTANDE
ES;XSON;1002000144;Otros dÇbitos R°o;Otros DÇbitos - Santander R°o 7452/8;OTROS DêBITOS - SANTANDER
ES;XSON;1002000145;Otros crÇditos R°o;Otros CrÇditos - Santander R°o 7452/8;OTROS CRêDITOS - SANTANDE
ES;XSON;1002000150;Banco Ciudad $Centro;Banco Ciudad Pesos - Suc. Centro;BANCO CIUDAD PESOS - SUC.
ES;XSON;1002000151;Entrada cheques Ciud;Entrada de cheques - Banco Ciudad;ENTRADA DE CHEQUES - BANC
ES;XSON;1002000152;Salida de cheques Ci;Salida de cheques - Banco Ciudad;SALIDA DE CHEQUES - BANCO
ES;XSON;1002000153;Transferencias Ciuda;Transferencias - Banco Ciudad;TRANSFERENCIAS - BANCO CI
ES;XSON;1002000154;Otros dÇbitos Ciudad;Otros DÇbitos - Banco Ciudad;OTROS DêBITOS - BANCO CIU
ES;XSON;1002000155;Otros crÇditos Ciuda;Otros CrÇditos - Banco Ciudad;OTROS CRêDITOS - BANCO CI
ES;XSON;1002000160;HSBC  NO USAR;HSBC NO USAR;HSBC NO USAR
ES;XSON;1002000161;Entrada NO USAR;Entrada de cheques - HSBC NO USAR;ENTRADA DE CHEQUES - HSBC
ES;XSON;1002000162;Salida de NO USAR;Salida de cheques - HSBC NO USAR;SALIDA DE CHEQUES - HSBC
ES;XSON;1002000163;Transfer NO USAR;Transferencias - HSBC NO USAR;TRANSFERENCIAS - HSBC NO
ES;XSON;1002000164;Otros deb NO USAR;Otros debitos - HSBC NO USAR;OTROS DEBITOS - HSBC NO U
ES;XSON;1002000165;Otros cr NO USAR;Otros creditos - HSBC NO USAR;OTROS CREDITOS - HSBC NO
ES;XSON;1002000170;Santander R°o - Clax;Santander R°o - Claxson Argentina;SANTANDER R÷O - CLAXSON A
ES;XSON;1002000171;Entrada de cheques -;Entrada de cheques - Santander R°o Cxn Arg;ENTRADA DE CHEQUES - SANT
ES;XSON;1002000172;Salida de cheques -;Salida de cheques - Santander Rio Cxn Arg;SALIDA DE CHEQUES - SANTA
ES;XSON;1002000173;Transferencias - San;Transferencias - Santander Rio Cxn Arg;TRANSFERENCIAS - SANTANDE
ES;XSON;1002000174;Otros dÇbitos - Sant;Otros dÇbitos - Santander R°o Cxn Arg;OTROS DêBITOS - SANTANDER
ES;XSON;1002000175;Otros crÇditos - San;Otros crÇditos - Santander R°o Cxn Arg;OTROS CRêDITOS - SANTANDE
ES;XSON;1002000180;Bco.Galicia Cta.Cte.;Bco. Galicia Cta. Cte. $ 2354-4-245-6  - Suc. Belg;BCO. GALICIA CTA. CTE. $
ES;XSON;1002000181;Entrada de cheques G;Entrada de cheques ? Bco. Galicia $ 2354-4-245-6;ENTRADA DE CHEQUES ? BCO.
ES;XSON;1002000182;Salida de cheques Ga;Salida de cheques ? Bco. Galicia $ 2354-4-245-6;SALIDA DE CHEQUES ? BCO.
ES;XSON;1002000183;Transferencias Galic;Transferencias ? Bco. Galicia $ 2354-4-245-6;TRANSFERENCIAS ? BCO. GAL
ES;XSON;1002000184;Otros dÇbitos Galici;Otros DÇbitos ? Bco. Galicia $ 2354-4-245-6;OTROS DêBITOS ? BCO. GALI
ES;XSON;1002000185;Otros crÇditos Galic;Otros CrÇditos ? Bco. Galicia $ 2354-4-245-6;OTROS CRêDITOS ? BCO. GAL
ES;XSON;1002000190;Bco.Galicia C.Cte. $;Bco.Galicia Cta.Cte. $ 2710-2-245-3;BCO.GALICIA CTA.CTE. $ 27
ES;XSON;1002000191;Entrada de cheques;Entrada de cheques ? Bco. Galicia $ 2710-2-245-3;ENTRADA DE CHEQUES ? BCO.
ES;XSON;1002000192;Salida Cheques Galic;Salida de cheques ? Bco. Galicia $ 2710-2-245-3;SALIDA DE CHEQUES ? BCO.
ES;XSON;1002000193;Transferencias Galic;Transferencias ? Bco. Galicia $ 2710-2-245-3;TRANSFERENCIAS ? BCO. GAL
ES;XSON;1002000194;Otros dÇbitos Galici;Otros DÇbitos ? Bco. Galicia $ 2710-2-245-3;OTROS DêBITOS ? BCO. GALI
ES;XSON;1002000195;Otros crÇditos Galic;Otros CrÇditos ? Bco. Galicia $ 2710-2-245-3;OTROS CRêDITOS ? BCO. GAL
ES;XSON;1002000200;HSBC Cta Cte AR$;HSBC Cta Cte AR$ 58329-1;HSBC CTA CTE AR$ 58329-1
ES;XSON;1002000201;Entradas de Ch HSBC;Entradas de Cheques - HSBC  Cta Cte AR$ 58329-1;ENTRADAS DE CHEQUES - HSB
ES;XSON;1002000202;Salida de Ch HSBC;Salida de Cheques ? HSBC Cta Cte AR$ 58329-1;SALIDA DE CHEQUES ? HSBC
ES;XSON;1002000203;Transferencias HSBC;Transferencias ? HSBC Cta Cte AR$ 58329-1;TRANSFERENCIAS ? HSBC CTA
ES;XSON;1002000204;Otros DÇbitos HSBC;Otros DÇbitos ? HSBC Cta Cte AR$ 58329-1;OTROS DêBITOS ? HSBC CTA
ES;XSON;1002000205;Otros CrÇditos HSBC;Otros CrÇditos ? HSBC Cta Cte AR$ 58329-1;OTROS CRêDITOS ? HSBC CTA
ES;XSON;1002000210;HSBC Cuenta NO USAR;HSBC Cuenta pagos NO USAR;HSBC CUENTA PAGOS NO USAR
